ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:526
21815719,2016-10-27 12:15:01,725G - Messages on a Tree,GNU C++,Accepted,1871 ms,58000 KB
21815577,2016-10-27 12:07:33,725G - Messages on a Tree,GNU C++,Wrong answer on test 5,15 ms,26600 KB
21815557,2016-10-27 12:06:10,725G - Messages on a Tree,GNU C++,Time limit exceeded on test 4,2000 ms,26600 KB
21814171,2016-10-27 10:33:23,725F - Family Photos,GNU C++,Accepted,249 ms,3100 KB
21710514,2016-10-23 14:47:03,730C - Bulmart,GNU C++,Accepted,1216 ms,259900 KB
21707779,2016-10-23 13:29:47,730A - Toda 2,GNU C++,Accepted,15 ms,300 KB
21706839,2016-10-23 13:05:40,730G - Car Repair Shop,GNU C++,Accepted,30 ms,0 KB
21706784,2016-10-23 13:03:47,730G - Car Repair Shop,GNU C++,Wrong answer on test 12,15 ms,0 KB
21706688,2016-10-23 13:01:32,730B - Minimum and Maximum,GNU C++,Accepted,436 ms,0 KB
21706447,2016-10-23 12:56:34,730B - Minimum and Maximum,GNU C++,Wrong answer on test 2,0 ms,0 KB
21706271,2016-10-23 12:52:50,730G - Car Repair Shop,GNU C++,Wrong answer on test 9,15 ms,0 KB
21706147,2016-10-23 12:49:49,730B - Minimum and Maximum,GNU C++,Wrong answer on test 2,15 ms,0 KB
21704114,2016-10-23 12:07:25,730J - Bottles,GNU C++,Accepted,78 ms,12500 KB
21703837,2016-10-23 12:01:59,730J - Bottles,GNU C++,Wrong answer on test 9,31 ms,12500 KB
21703756,2016-10-23 12:00:27,730J - Bottles,GNU C++,Wrong answer on test 9,15 ms,12500 KB
21703511,2016-10-23 11:56:04,730J - Bottles,GNU C++,Wrong answer on test 9,15 ms,12500 KB
21703349,2016-10-23 11:52:53,730J - Bottles,GNU C++,Wrong answer on test 9,15 ms,12500 KB
21703264,2016-10-23 11:51:18,730J - Bottles,GNU C++,Wrong answer on test 7,15 ms,100 KB
21702696,2016-10-23 11:39:57,730H - Delete Them,GNU C++,Accepted,15 ms,0 KB
21701877,2016-10-23 11:20:01,730B - Minimum and Maximum,GNU C++,Wrong answer on test 4,15 ms,0 KB
21687557,2016-10-22 20:23:21,725E - Too Much Money,GNU C++,Accepted,124 ms,1600 KB
21680384,2016-10-22 19:14:27,725D - Contest Balloons,GNU C++,Accepted,795 ms,28300 KB
21677904,2016-10-22 18:52:12,725C - Hidden Word,GNU C++,Accepted,15 ms,0 KB
21674779,2016-10-22 18:29:35,725B - Food on the Plane,GNU C++,Accepted,15 ms,0 KB
21672795,2016-10-22 18:18:03,725A - Jumping Ball,GNU C++,Accepted,31 ms,2100 KB
21656700,2016-10-22 07:01:32,650C - Table Compression,GNU C++,Accepted,1762 ms,88100 KB
21656597,2016-10-22 06:51:43,650C - Table Compression,GNU C++,Wrong answer on test 3,31 ms,35200 KB
21632425,2016-10-21 07:06:01,623A - Graph and String,GNU C++,Accepted,124 ms,1900 KB
21632415,2016-10-21 07:04:16,623A - Graph and String,GNU C++,Wrong answer on test 26,139 ms,1900 KB
21632410,2016-10-21 07:03:41,623A - Graph and String,GNU C++,Wrong answer on test 26,124 ms,1900 KB
21632389,2016-10-21 07:01:59,623A - Graph and String,GNU C++,Wrong answer on test 21,124 ms,1600 KB
21632231,2016-10-21 06:41:50,623C - Electric Charges,GNU C++,Accepted,421 ms,2400 KB
21632135,2016-10-21 06:30:23,623C - Electric Charges,GNU C++,Wrong answer on test 6,15 ms,2400 KB
21631515,2016-10-21 05:30:01,623B - Array GCD,GNU C++,Accepted,810 ms,27400 KB
21555545,2016-10-18 05:29:44,731E - Funny Game,GNU C++,Accepted,124 ms,5200 KB
21554743,2016-10-18 04:13:48,732F - Tourist Reform,GNU C++,Accepted,1309 ms,55100 KB
21554514,2016-10-18 03:51:19,732F - Tourist Reform,GNU C++,Wrong answer on test 13,1169 ms,39300 KB
21543251,2016-10-17 19:39:19,732F - Tourist Reform,GNU C++,Wrong answer on test 8,1637 ms,39400 KB
21542324,2016-10-17 19:29:31,732F - Tourist Reform,GNU C++,Wrong answer on pretest 1,15 ms,22400 KB
21539468,2016-10-17 19:03:24,732E - Sockets,GNU C++,Accepted,1543 ms,11200 KB
21538102,2016-10-17 18:52:26,732E - Sockets,GNU C++,Wrong answer on pretest 8,1185 ms,153600 KB
21537824,2016-10-17 18:50:24,732E - Sockets,GNU C++,Wrong answer on pretest 8,1216 ms,153400 KB
21534941,2016-10-17 18:30:22,732D - Exams,GNU C++,Accepted,124 ms,3200 KB
21532831,2016-10-17 18:18:16,732C - Sanatorium,GNU C++,Accepted,15 ms,2000 KB
21532720,2016-10-17 18:17:46,732C - Sanatorium,GNU C++,Wrong answer on pretest 2,15 ms,2000 KB
21525456,2016-10-17 17:47:25,732B - Cormen --- The Best Friend Of a Man,GNU C++,Accepted,31 ms,2000 KB
21522840,2016-10-17 17:40:23,732A - Buy a Shovel,GNU C++,Accepted,31 ms,2000 KB
21496979,2016-10-16 16:22:16,731D - 80-th Level Archeology,GNU C++,Accepted,919 ms,68700 KB
21496532,2016-10-16 16:09:30,731D - 80-th Level Archeology,GNU C++,Wrong answer on test 8,15 ms,5900 KB
21492622,2016-10-16 14:42:59,731D - 80-th Level Archeology,GNU C++,Wrong answer on pretest 8,15 ms,5900 KB
21492484,2016-10-16 14:42:16,731D - 80-th Level Archeology,GNU C++,Wrong answer on pretest 4,15 ms,5900 KB
21488483,2016-10-16 14:09:47,731D - 80-th Level Archeology,GNU C++,Wrong answer on pretest 8,15 ms,9900 KB
21487606,2016-10-16 14:01:12,731D - 80-th Level Archeology,GNU C++,Wrong answer on pretest 8,15 ms,9900 KB
21486115,2016-10-16 13:48:01,731D - 80-th Level Archeology,GNU C++,Wrong answer on pretest 8,15 ms,9900 KB
21482491,2016-10-16 13:21:22,731F - Video Cards,GNU C++,Accepted,420 ms,2800 KB
21479813,2016-10-16 13:06:09,731C - Socks,GNU C++,Accepted,436 ms,16300 KB
21477833,2016-10-16 12:56:38,731B - Coupons and Discounts,GNU C++,Accepted,139 ms,2000 KB
21476037,2016-10-16 12:48:08,731A - Night at the Museum,GNU C++,Accepted,15 ms,2000 KB
21470765,2016-10-16 05:38:30,727F - Polycarp's problems,GNU C++,Accepted,249 ms,7100 KB
21470568,2016-10-16 05:09:45,727F - Polycarp's problems,GNU C++,Time limit exceeded on test 7,2000 ms,2100 KB
21470494,2016-10-16 05:01:31,727F - Polycarp's problems,GNU C++,Time limit exceeded on test 3,2000 ms,2000 KB
21470487,2016-10-16 05:01:00,727F - Polycarp's problems,GNU C++,Memory limit exceeded on test 3,498 ms,262100 KB
